coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Sep 12 18:05:09 +0000 2021,,,,9,1437115076033617920,R_A_Ziemkiewicz,1437112398780014607,1388943902,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@R_A_Ziemkiewicz @BeataMonka @kawecki_maciej Może nie lepiej, ale boleśniej.
Dzisiejszy świat, staje się ""rzeczywistością"" opisaną przez Lema w ""Kongresie futurologicznym"". 
Lem jeszcze uważał, że do fałszowania rzeczywistości są potrzebne specjalne środki chemiczne odziaływujące na CUN. Dziś wiemy, że wystarczą media.",https://twitter.com/SpirOxy/status/1437115076033617920,Thu Apr 26 10:27:31 +0000 2012,563612114,false,"Listy z drewutni.
= Kończę wieczory i rozpoczynam dzionki,
ku pokrzepieniu pisząc me spirydionki =
INTP
🐱",24418,12492,618,40,"Polska, Mały Guslar ",Spirydion Oxymoron,SpirOxy,86012,,,false
,Sun Sep 12 18:10:35 +0000 2021,,,,0,1437116446757228551,,,,pl,,,,40,1437073798403067909,lwowskibaciar,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Na domu Stanisława Lema powieszono tablice. Światowej sławy pisarz i cytat ""jestem lwowaninem i lwowianinem do śmierci pozostanę."" Nie dodano nic o 🇵🇱 i dalszej części jego słów ""narody to nie szafy, by je przesuwać"". Nie podoba mi się to, więc 📷 domu bez tablicy.

#lwów #lem https://t.co/58selcNi6b",https://twitter.com/astonhedge/status/1437116446757228551,Thu May 28 14:49:35 +0000 2015,3301872724,false,,4794,898,196,34,,Astonhedge 🇵🇱 ⰀⰔⰕⰑⰐⰢⰅⰌ 🇺🇦,astonhedge,112751,,,false
,Sun Sep 12 17:37:16 +0000 2021,,,,0,1437108059411816449,,,,pl,,,,40,1437073798403067909,lwowskibaciar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Na domu Stanisława Lema powieszono tablice. Światowej sławy pisarz i cytat ""jestem lwowaninem i lwowianinem do śmierci pozostanę."" Nie dodano nic o 🇵🇱 i dalszej części jego słów ""narody to nie szafy, by je przesuwać"". Nie podoba mi się to, więc 📷 domu bez tablicy.

#lwów #lem https://t.co/58selcNi6b",https://twitter.com/buchort/status/1437108059411816449,Sun Dec 16 13:35:38 +0000 2012,1015233415,false,"Starych UBeków i lewaków banuje bez ostrzeżenia i z przyjemnością. Dla nich,jak mówią tasiemce,jest tylko jedno wyjście.",76682,1307,1295,6,chata za wsią,chemik,buchort,18764,,,false
,Sun Sep 12 19:28:26 +0000 2021,Kordegarda,,,0,1437136035763343361,,,,pl,,,,5,1436955236116013057,RWisniewski_NCK,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Galeria #Kordegarda na weekend! Wewnątrz - wystawa „Dulska na scenie”, na zewnątrz - plenerowa ekspozycja „Lem”. Obie ciekawe, inspirujące i warte zobaczenia. Zapraszam, wstęp jest bezpłatny! #nckultury @NCK_PL @MKDNiS https://t.co/HWS96dix60",https://twitter.com/MM_Rydzewski/status/1437136035763343361,Sat Oct 17 16:17:29 +0000 2020,1317499895746596866,false,,1387,8,159,0,,Michał,MM_Rydzewski,885,,,false
,Sun Sep 12 18:51:57 +0000 2021,,,,0,1437126856499765252,NocnaZ,1437126186551889927,1255052343743254500,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@NocnaZ Ona chyba nie wie kim był Stanisław Lem.,https://twitter.com/varecki/status/1437126856499765252,Fri Mar 20 12:17:54 +0000 2009,25494312,false,raczej już nie bywam. kontakt gdzie indziej.,14209,57,300,1,Wrocław,Varek,varecki,5737,,,false
,Sun Sep 12 18:37:38 +0000 2021,,,https://dzieje.pl/kultura-i-sztuka/100-lat-temu-urodzil-sie-stanislaw-lem-pisarz-futurolog-filozof-patron-roku-2021,0,1437123251432525826,,,,pl,,false,,24,1436934416882966532,dziejepl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","100 lat temu urodził się Stanisław Lem – pisarz, futurolog, filozof, patron roku 2021
https://t.co/EismHva1YH https://t.co/HiGZ4buLi6",https://twitter.com/jahajduk/status/1437123251432525826,Tue Aug 31 11:09:36 +0000 2021,1432659230000095237,false,Autor. Nowa książka: DZIENNIK ROKU SZCZURA. Adiunkt @JagiellonskiUni. „Ten bezmiar - to Homer” (V. Hugo).,1190,209,202,4,"Kraków, Polska",Jacek Hajduk,jahajduk,1360,,,false
,Sun Sep 12 17:51:18 +0000 2021,RokLema,,,0,1437111591225466888,,,,pl,,,,2,1437107742217547779,BeataMonka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Czy Stanisław Lem przewidział naszą przyszłość? Jak wyobrażał sobie świat w XXI w? #RokLema - wystartował Festiwal Przyszłości Bomba Megabitowa -@kawecki_maciej brawo za determinację i rozmach! #kultura #nauka #technologia #future https://t.co/DhyNqHKMvN,https://twitter.com/kawecki_maciej/status/1437111591225466888,Sat Jan 21 11:46:19 +0000 2017,822772308339281920,false,Digital EU Ambassador |Technology passionate | Blog https://t.co/Wiu4EcOPee,9235,29753,173,153,Polska,Maciej Kawecki,kawecki_maciej,7829,,https://www.linkedin.com/in/maciejkawecki,false
,Sun Sep 12 19:13:56 +0000 2021,Triell,,,0,1437132386060357632,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Konfro!!! #Triell,https://twitter.com/lem_jenn/status/1437132386060357632,Sat Feb 08 13:16:30 +0000 2014,2331872573,false,"Das Leben ist eine Suppe
 und ich bin eine Gabel",12148,128,344,0,,Zamilein,lem_jenn,13129,,,false
,Sun Sep 12 18:38:45 +0000 2021,,,,0,1437123533851832323,,,,pl,,,,40,1437073798403067909,lwowskibaciar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Na domu Stanisława Lema powieszono tablice. Światowej sławy pisarz i cytat ""jestem lwowaninem i lwowianinem do śmierci pozostanę."" Nie dodano nic o 🇵🇱 i dalszej części jego słów ""narody to nie szafy, by je przesuwać"". Nie podoba mi się to, więc 📷 domu bez tablicy.

#lwów #lem https://t.co/58selcNi6b",https://twitter.com/_Boreyko_/status/1437123533851832323,Sat Sep 12 19:01:51 +0000 2015,3634083261,false,,65506,1173,1049,20,,Boreyko,_Boreyko_,107490,,,false
,Sun Sep 12 17:59:17 +0000 2021,,,https://dzieje.pl/kultura-i-sztuka/100-lat-temu-urodzil-sie-stanislaw-lem-pisarz-futurolog-filozof-patron-roku-2021,0,1437113601588871177,,,,pl,,false,,24,1436934416882966532,dziejepl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","100 lat temu urodził się Stanisław Lem – pisarz, futurolog, filozof, patron roku 2021
https://t.co/EismHva1YH https://t.co/HiGZ4buLi6",https://twitter.com/AnnaMyPrecious1/status/1437113601588871177,Sun Jun 18 19:59:35 +0000 2017,876529846872145922,false,"Hobby: muzyka, kino, astronomia, geologia, walki wschodu. Lubię dyskusje na tematy społeczne i geo-polityczne.",316723,1885,1806,17,,Anna Jewel 🇵🇱 🌌💎,AnnaMyPrecious1,183535,,,false
,Sun Sep 12 17:36:00 +0000 2021,RokLema kultura nauka technologia future,https://twitter.com/BeataMonka/status/1437107742217547779/photo/1,,25,1437107742217547779,,,,pl,,false,,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Czy Stanisław Lem przewidział naszą przyszłość? Jak wyobrażał sobie świat w XXI w? #RokLema - wystartował Festiwal Przyszłości Bomba Megabitowa -@kawecki_maciej brawo za determinację i rozmach! #kultura #nauka #technologia #future https://t.co/DhyNqHKMvN,https://twitter.com/BeataMonka/status/1437107742217547779,Fri Dec 18 14:10:59 +0000 2015,4525407448,false,"Business, Media, Technology, Entertaiment; Supervisory Board Member,CEO, Business Partner,YPOer. Lecturer #Kozminski, Diver",98,242,61,1,"Warszawa, Polska",Beata Mońka,BeataMonka,91,,https://www.linkedin.com/in/beatamonka,false
,Sun Sep 12 19:28:59 +0000 2021,,https://twitter.com/EwaEgr2/status/1437136174225711122/photo/1,,0,1437136174225711122,krakow_pl,1436922433940885506,78260767,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@krakow_pl @teatrgroteska @bs Krakowie A gdzie w tym wszystkim jest Lem https://t.co/wciITjBm4m,https://twitter.com/EwaEgr2/status/1437136174225711122,Sat Sep 16 14:59:38 +0000 2017,909069268402294784,false,emerytka,126294,842,487,11,"Śląskie, Polska",Ewa Górszczyk,EwaEgr2,61842,,,false
,Sun Sep 12 19:16:53 +0000 2021,,,,0,1437133129932738562,,,,pl,,,,36,1436947108947431426,LemaInstytut,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","W akcie urodzenia Lema widnieje data 12 września 1921. Formalnie to równo 100 lat temu urodził się Lem! Dziś mamy wielki zaszczyt udostępnić Państwu statuetkę im. S. Lema ""Planeta Lem"" która począwszy od tego roku będzie wyróżniała wielkich. Więcej: https://t.co/kD34S88cKD https://t.co/62MRZQHNJw",https://twitter.com/BWhiteandgreen/status/1437133129932738562,Tue Jun 30 10:49:43 +0000 2020,1277917121754914817,false,"Here and Now. #Responsibility, #Animals, #lovedon'teat, Democracy, #StandWithHongKong, #StandWithTaiwan, #StandWithBelarus,#StandWithUkraine🇺🇦",133798,1222,2791,2,"Kraków, Polska",blue whiteandgreen,BWhiteandgreen,23080,,,false
,Sun Sep 12 19:06:42 +0000 2021,,https://twitter.com/blauwerke/status/1436950219212603392/photo/1,,0,1437130569209499650,,,,pl,,false,,7,1436950219212603392,blauwerke,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Andrei Tarkowski, Solaris (1972). 
Based on a novel by Stanisław Lem. https://t.co/zQSlDfpHr5",https://twitter.com/kindtspech/status/1437130569209499650,Sun Jan 10 16:01:02 +0000 2021,1348298233299292161,false,"Es ist der 10. Januar 2021, ich bin ab jetzt online. Wahrscheinlich.",2180,19,69,1,,Kindtspech,kindtspech,2809,,,false
,Sun Sep 12 17:40:36 +0000 2021,,,,0,1437108901560913923,,,,pl,,,,22,1437075019805429765,MarekS98837118,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","My­śla­łem:
ni­g­dy się nie zmie­ni
za­wsze bę­dzie cze­ka­ła
ubra­na w bia­łą suk­nię
i nie­bie­skie oczy
na pro­gu wszyst­kich drzwi
za­wsze bę­dzie uśmie­cha­ła się
wkła­da­jąc ten na­szyj­nik
aż na­gle
urwa­ła się nit­ka
te­raz per­ły zi­mu­ją(...)

Herbert i.. Mama.
Tęsknię.",https://twitter.com/Leokadiar/status/1437108901560913923,Thu Sep 10 15:01:12 +0000 2015,3610369401,false,"Córka łącznika AK, który odsiedział 10 lat w łagrach sowieckich; aresztowany we wrześniu 1947r.",44828,291,711,2,,Leokadia R.,Leokadiar,47671,,,false
,Sun Sep 12 17:26:27 +0000 2021,,,,0,1437105338982014978,,,,pl,,,,15,1437047940372176897,JozefKasprowicz,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Każdy człowiek ma tylko jedną matkę i nie można jej zmieniać na inną. Dlatego Lwów jest dla mnie niezamienialny (...) Lwów jest częścią mnie, a ja częścią Lwowa. Jestem wrośnięty we Lwów jak drzewo.""

100 lat temu we Lwowie urodził się Stanisław #Lem 

#Kresy https://t.co/q5Ox7oQQ4P",https://twitter.com/r_groniak/status/1437105338982014978,Wed Jan 04 07:48:17 +0000 2017,816551810265710593,false,...,128088,2500,2464,2,,Robert Groniak 🇵🇱,r_groniak,58728,,,false
,Sun Sep 12 18:26:41 +0000 2021,,,,0,1437120495737085953,gromotapl,1437023531422961667,1349416080377307100,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@gromotapl Frekwencja pociesza. 
Stanisław Lem: &gt;... przewidywać przyszłość można najłatwiej, kiedy się uznaje, że zajdzie to, co uchodzi aktualnie za całkowitą niemożliwość, za ""sen wariata śniony nieprzytomnie"", za nieziszczalne rojenie.&lt;
Czy kiedyś media społecznościowe zostaną zakazane?",https://twitter.com/BalbinaGes/status/1437120495737085953,Wed Oct 28 07:04:52 +0000 2015,4058910717,false,"Możliwe, że ten cholerny wariat jest tutaj ostatnim normalnym człowiekiem.

#democration",90213,600,1935,2,🇪🇺,Balbina ***** *** 🌍 4.5 mld 🌱,BalbinaGes,11349,,,false
,Sun Sep 12 19:28:14 +0000 2021,,,,4,1437135984425062407,BKopyto,1437134952739581958,1286987784339816400,pl,,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@BKopyto @naprawdejoanna Nie, Lem nie był Prymasem.",https://twitter.com/Elizabeth_Praud/status/1437135984425062407,Sat Feb 06 09:12:09 +0000 2016,4880856928,false,Warto czytać książki.,49452,2173,1456,2,"Gdynia, Polska",Elżbieta Przybylska CSB,Elizabeth_Praud,58904,,,false
,Sun Sep 12 18:50:20 +0000 2021,,,,0,1437126446900776960,,,,pl,,,,22,1437075019805429765,MarekS98837118,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","My­śla­łem:
ni­g­dy się nie zmie­ni
za­wsze bę­dzie cze­ka­ła
ubra­na w bia­łą suk­nię
i nie­bie­skie oczy
na pro­gu wszyst­kich drzwi
za­wsze bę­dzie uśmie­cha­ła się
wkła­da­jąc ten na­szyj­nik
aż na­gle
urwa­ła się nit­ka
te­raz per­ły zi­mu­ją(...)

Herbert i.. Mama.
Tęsknię.",https://twitter.com/Mieczys26653581/status/1437126446900776960,Wed Jun 12 10:46:50 +0000 2019,1138759556849426432,false,"Emeryt, kocham żonę i blues'a",7668,296,106,18,,Mieczysław,Mieczys26653581,36993,,,false
,Sun Sep 12 19:45:50 +0000 2021,,,https://dzieje.pl/kultura-i-sztuka/100-lat-temu-urodzil-sie-stanislaw-lem-pisarz-futurolog-filozof-patron-roku-2021,0,1437140415250108424,,,,pl,,false,,24,1436934416882966532,dziejepl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","100 lat temu urodził się Stanisław Lem – pisarz, futurolog, filozof, patron roku 2021
https://t.co/EismHva1YH https://t.co/HiGZ4buLi6",https://twitter.com/Magdaiks/status/1437140415250108424,Wed Aug 26 11:01:03 +0000 2009,68951349,false,Bardziej na prawo ode mnie jest już tylko ściana.,394515,704,590,4,"Toruń, Polska",magda,Magdaiks,227642,,,false
,Sun Sep 12 18:22:47 +0000 2021,RokLema 100LatLema,https://twitter.com/CzytamJestem/status/1437119516882972673/photo/1,,10,1437119516882972673,,,,pl,,false,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stanisław Lem
Powrót z gwiazd
/1961/

#RokLema #100LatLema https://t.co/asaODLLdSd",https://twitter.com/CzytamJestem/status/1437119516882972673,Mon Jan 01 12:21:40 +0000 2018,947805017620336641,false,"🔞  🔞  🔞
Czytam, więc jestem. 
(Lego ergo sum)

Reklamacje: JestemWiecCzytam(at)gmail(.)com

🔞  🔞  🔞",1,504,0,1,Planet Earth,Czytam więc jestem,CzytamJestem,15439,,,false
,Sun Sep 12 18:31:58 +0000 2021,,,,0,1437121824416993280,,,,pl,,,,2,1437120277415178247,jeanvaljean47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@naprawdejoanna Stanisław Lem miał swój program w TVP. Czy dziś byłoby to możliwe...?,https://twitter.com/agalek757/status/1437121824416993280,Fri Jan 11 08:41:29 +0000 2013,1078969753,false,"Marzę o Polsce, w której Konstytucja będzie przestrzegana, Państwo oddzielone od KK, a kobiety będą miały wybór...",208073,3499,5000,0,"Gdańsk, Polska",Andrzej Gałek,agalek757,124617,,,false
,Sun Sep 12 18:58:48 +0000 2021,,,,0,1437128578282446848,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Spośród Polaków, których chcemy upamiętnić w 2021 r. zdecydowanie Lem !",https://twitter.com/AnnaPe7/status/1437128578282446848,Tue May 04 12:06:22 +0000 2021,1389551927843819522,false,,46655,81,13,4,,milimoi,AnnaPe7,18124,,,false
,Sun Sep 12 18:25:17 +0000 2021,,,"https://www.polskieradio.pl/395/7784/Artykul/2805760,Polands-Katowice-and-Ukraines-Lviv-unveil-Stanislaw-Lem-mural",0,1437120142631129096,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","100 years ago today, the author Stanisław Lem was born in Lwów, Poland (now Lviv, Ukraine). 🇵🇱 https://t.co/5Ggcf1M5rv",https://twitter.com/Big_Foot/status/1437120142631129096,Tue Aug 05 19:46:01 +0000 2008,15740748,false,"Right wingnut, BlogTalkRadio addict, Hokie, Yankees fan and amateur musician.  Contributor to the blog AndRightlySo and creator of Bigfoot's Place.",18,553,527,8,Maryland,Bigfoot,Big_Foot,2438,,http://bigfootsplace.blogspot.com/,false
,Sun Sep 12 18:21:08 +0000 2021,,,,0,1437119098081718281,,,,pl,,,,4,1437118879042519042,KoteuszKotowski,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","12 wrze 1921 - We Lwowie ur. się Stanisław Lem, klasyk literat. s-f, filozof, futurol. i eseista; jeden z najb. cenion pol. pisarzy; jego książki Powrót z gwiazd, Solaris, Opowieści o pilocie Pirxie, Dzienniki Gwiazdowe, Cyberiada weszły do kanonu najsłynn, dzieł s-f XX w. https://t.co/CS5QCmTurU",https://twitter.com/kubeuszjakub/status/1437119098081718281,Fri Apr 17 11:59:00 +0000 2015,3176451910,false,🇵🇱,127684,1604,3103,24,,Michal Jakub,kubeuszjakub,96856,,,false
,Sun Sep 12 18:44:52 +0000 2021,,,,0,1437125071777275913,,,,pl,,,,2,1437122741879066630,CzytamJestem,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Czy nigdy nie uderzyło Cię, że po jednych ludziach zostaje Ci nuda i właśnie jakby zakalec w głowie, a po innych Ci żwawiej i świat jakiś ciekawszy i godzien uwagi?

Stanisław Lem, Sławomir Mrożek
Listy 1956-1978

/2011/ https://t.co/SxIfVaTlxp",https://twitter.com/KrukMysli/status/1437125071777275913,Tue May 07 10:59:47 +0000 2019,1125716855073705986,false,"""Nową przypowieść Polak sobie kupi,
Że i przed szkodą, i po szkodzie głupi.""

Jan Kochanowski",49162,1031,898,15,,Kruk zadumany 🇪🇺 🇺🇦,KrukMysli,24295,,,false
